Device ID,events,Harsh Acceleration event,Harsh Branking event,Over Speed event,Usage Anual Range
867162025569088,275,115,158,2,12 a 25k
867162025569096,251,131,120,0,12 a 25k
867162025569104,113,51,62,0,0 a 12k
867162025569138,1338,396,942,0,25 a +40k
867162025569179,330,182,148,0,0 a 12k
867162025569195,12,5,7,0,0 a 12k
867162025569294,1099,396,524,179,25 a +40k
867162025569344,31,28,3,0,0 a 12k
867162025569351,399,268,131,0,12 a 25k
867162025569385,759,401,348,10,12 a 25k
867162025569450,337,263,74,0,12 a 25k
867162025569468,454,241,213,0,0 a 12k
867162025569476,475,181,293,1,12 a 25k
867162025569484,238,121,114,3,0 a 12k
867162025569542,950,506,432,12,12 a 25k
867162025569567,433,129,304,0,12 a 25k
867162025569609,0,0,0,0,0 a 12k
867162025569690,89,68,21,0,25 a +40k
867162025569732,135,70,65,0,0 a 12k
867162025569765,540,210,328,2,25 a +40k
867162025569773,835,340,494,1,25 a +40k
867162025569781,274,108,166,0,12 a 25k
867162025569799,2547,1000,1305,242,25 a +40k
867162025569807,329,93,184,52,12 a 25k
867162025569823,42,23,19,0,0 a 12k
867162025569849,71,25,46,0,12 a 25k
867162025569872,127,54,73,0,12 a 25k
867162025569898,149,92,57,0,0 a 12k
867162025569914,360,205,155,0,12 a 25k
867162025569922,380,296,82,2,12 a 25k
867162025569948,88,74,14,0,0 a 12k
867162025569955,176,92,66,18,0 a 12k
867162025569989,287,201,86,0,12 a 25k
867162025570003,18,9,9,0,12 a 25k
867162025570029,75,35,40,0,12 a 25k
867162025570037,858,287,517,54,12 a 25k
867162025570060,103,52,51,0,0 a 12k
867162025570078,77,67,10,0,0 a 12k
867162025570086,785,413,372,0,0 a 12k
867162025570094,159,111,48,0,0 a 12k
867162025570110,201,132,68,1,25 a +40k
867162025570136,134,46,88,0,0 a 12k
867162025570193,886,495,389,2,12 a 25k
867162025570219,70,36,34,0,0 a 12k
867162025570227,242,155,87,0,0 a 12k
867162025570292,212,157,55,0,0 a 12k
867162025570326,223,117,106,0,12 a 25k
867162025570342,298,168,130,0,0 a 12k
867162025570383,1124,631,493,0,25 a +40k
867162025570433,158,101,56,1,0 a 12k
867162025570490,197,62,135,0,12 a 25k
867162025570524,0,0,0,0,12 a 25k
867162025570532,135,46,89,0,0 a 12k
867162025570540,20,13,7,0,0 a 12k
867162025570565,262,142,120,0,25 a +40k
867162025570607,479,272,196,11,12 a 25k
867162025570623,51,20,31,0,0 a 12k
867162025570672,398,304,93,1,12 a 25k
867162025570706,94,59,33,2,12 a 25k
867162025570755,628,359,269,0,12 a 25k
867162025570797,155,44,111,0,12 a 25k
867162025570805,426,254,167,5,25 a +40k
867162025570839,204,108,96,0,12 a 25k
867162025570854,888,527,360,1,0 a 12k
867162025570888,1177,479,658,40,25 a +40k
867162025570938,141,72,69,0,12 a 25k
867162025570987,678,390,284,4,0 a 12k
867162025571001,1103,658,247,198,12 a 25k
867162025571035,606,298,262,46,25 a +40k
867162025571043,203,143,59,1,12 a 25k
867162025571118,98,57,31,10,12 a 25k
867162025571175,37,14,23,0,0 a 12k
867162025571183,439,266,172,1,12 a 25k
867162025571191,171,46,125,0,0 a 12k
867162025571209,206,108,84,14,0 a 12k
867162025571225,261,151,108,2,0 a 12k
867162025571233,189,77,112,0,12 a 25k
867162025571241,298,166,127,5,12 a 25k
867162025571274,190,120,70,0,0 a 12k
867162025571282,389,275,106,8,0 a 12k
867162025571290,164,45,119,0,12 a 25k
867162025571316,504,209,295,0,0 a 12k
867162025571431,200,116,84,0,0 a 12k
867162025571456,373,164,209,0,25 a +40k
867162025571498,82,26,37,19,12 a 25k
867162025571506,115,90,25,0,12 a 25k
867162025571522,25,20,5,0,12 a 25k
867162025571555,355,252,96,7,0 a 12k
867162025571571,72,47,25,0,12 a 25k
867162025571597,228,173,55,0,12 a 25k
867162025571605,293,136,157,0,12 a 25k
867162025571639,129,80,49,0,0 a 12k
867162025571654,119,65,54,0,0 a 12k
867162025571662,0,0,0,0,12 a 25k
867162025571712,489,130,154,205,25 a +40k
867162025571738,179,102,72,5,12 a 25k
867162025571746,132,79,53,0,0 a 12k
867162025571779,31,16,15,0,0 a 12k
867162025571795,1451,709,742,0,25 a +40k
867162025571829,152,81,71,0,12 a 25k
867162025571837,354,142,212,0,0 a 12k
867162025571878,139,68,65,6,0 a 12k
867162025571902,477,240,237,0,12 a 25k
867162025571910,709,278,431,0,25 a +40k
867162025571936,269,140,129,0,0 a 12k
867162025571944,53,32,21,0,0 a 12k
867162025571977,69,19,50,0,12 a 25k
867162025571985,170,63,107,0,0 a 12k
867162025571993,437,154,283,0,25 a +40k
867162025572017,481,277,204,0,12 a 25k
867162025572041,142,52,90,0,0 a 12k
867162025572058,210,93,117,0,0 a 12k
867162025572090,613,365,248,0,12 a 25k
867162025572108,557,205,352,0,0 a 12k
867162025572140,211,69,142,0,12 a 25k
867162025572165,165,94,71,0,0 a 12k
867162025572173,53,32,21,0,0 a 12k
867162025572207,235,90,145,0,0 a 12k
867162025572249,324,163,161,0,12 a 25k
867162025572272,781,217,564,0,12 a 25k
867162025572280,421,194,227,0,12 a 25k
867162025572306,1707,856,806,45,25 a +40k
867162025572314,175,128,47,0,0 a 12k
867162025572330,26,16,10,0,12 a 25k
867162025572371,165,126,38,1,12 a 25k
867162025572389,553,225,328,0,12 a 25k
867162025572397,760,364,394,2,25 a +40k
867162025572512,1705,623,863,219,12 a 25k
867162025572553,157,58,99,0,25 a +40k
867162025572603,103,63,40,0,12 a 25k
867162025572611,958,515,443,0,25 a +40k
867162025572629,154,122,32,0,0 a 12k
867162025572645,33,26,7,0,0 a 12k
867162025572660,331,129,180,22,0 a 12k
867162025572686,374,107,265,2,12 a 25k
867162025572702,117,21,95,1,12 a 25k
867162025572736,178,94,68,16,12 a 25k
867162025572744,247,205,42,0,12 a 25k
867162025572751,163,97,66,0,12 a 25k
867162025572769,11,10,1,0,0 a 12k
867162025572777,121,45,41,35,12 a 25k
867162025572785,27,14,13,0,0 a 12k
867162025572793,652,519,132,1,12 a 25k
867162025572801,14,4,10,0,0 a 12k
867162025572827,310,163,131,16,0 a 12k
867162025572850,150,101,49,0,12 a 25k
867162025572884,494,295,191,8,0 a 12k
867162025572892,107,60,47,0,0 a 12k
867162025572900,31,16,15,0,12 a 25k
867162025572918,241,101,140,0,0 a 12k
867162025572926,627,263,364,0,25 a +40k
867162025572967,19,6,13,0,0 a 12k
867162025573007,49,18,31,0,0 a 12k
867162025573023,222,95,127,0,12 a 25k
867162025573049,16,10,6,0,12 a 25k
867162025573064,609,247,293,69,12 a 25k
867162025573098,43,21,21,1,0 a 12k
867162025573130,217,135,82,0,0 a 12k
867162025573155,243,68,175,0,12 a 25k
867162025573163,33,21,12,0,0 a 12k
867162025573189,256,157,99,0,25 a +40k
867162025573197,568,264,295,9,12 a 25k
867162025573213,7,5,2,0,0 a 12k
867162025573221,625,340,284,1,12 a 25k
867162025573239,303,146,156,1,0 a 12k
867162025573247,178,117,61,0,0 a 12k
867162025573254,134,83,51,0,0 a 12k
867162025573262,202,161,41,0,25 a +40k
867162025573270,229,111,118,0,0 a 12k
867162025573288,231,130,101,0,25 a +40k
867162025573304,608,378,217,13,12 a 25k
867162025573312,152,44,104,4,12 a 25k
867162025573338,256,58,198,0,0 a 12k
867162025573346,644,165,479,0,25 a +40k
867162025573379,409,273,135,1,25 a +40k
867162025573387,54,32,22,0,0 a 12k
867162025573395,286,202,84,0,12 a 25k
867162025573429,147,68,79,0,12 a 25k
867162025573437,103,32,58,13,12 a 25k
867162025573445,294,168,126,0,0 a 12k
867162025573460,536,245,274,17,0 a 12k
867162025573478,722,439,282,1,12 a 25k
867162025573494,57,23,34,0,25 a +40k
867162025573510,118,33,85,0,0 a 12k
867162025573536,203,139,64,0,25 a +40k
867162025573544,349,246,103,0,12 a 25k
867162025573551,622,411,203,8,12 a 25k
867162025573593,338,212,126,0,12 a 25k
867162025573601,48,35,13,0,0 a 12k
867162025573619,64,23,41,0,12 a 25k
867162025573668,176,76,87,13,25 a +40k
867162025573676,50,17,33,0,0 a 12k
867162025573684,437,236,196,5,12 a 25k
867162025573692,156,84,72,0,0 a 12k
867162025573718,37,27,10,0,0 a 12k
867162025573726,482,175,307,0,12 a 25k
867162025573734,336,188,117,31,25 a +40k
867162025573742,235,96,107,32,12 a 25k
867162025573759,694,443,251,0,12 a 25k
867162025573775,52,37,14,1,0 a 12k
867162025573783,961,573,382,6,0 a 12k
867162025573817,838,371,467,0,12 a 25k
867162025573825,213,111,76,26,0 a 12k
867162025573858,298,140,158,0,0 a 12k
867162025573866,170,74,96,0,12 a 25k
867162025573916,80,36,41,3,0 a 12k
867162025573957,127,76,51,0,12 a 25k
867162025573973,126,51,75,0,0 a 12k
867162025573999,188,99,88,1,12 a 25k
867162025574047,129,71,58,0,12 a 25k
867162025574062,426,92,328,6,25 a +40k
867162025574112,51,40,11,0,0 a 12k
867162025574146,97,50,47,0,0 a 12k
867162025574187,128,87,41,0,12 a 25k
867162025574195,307,59,248,0,12 a 25k
867162025574203,413,246,165,2,0 a 12k
867162025574237,471,301,170,0,12 a 25k
867162025574245,209,97,52,60,12 a 25k
867162025574252,2477,737,1740,0,25 a +40k
867162025574278,118,85,33,0,0 a 12k
867162025574336,43,26,17,0,0 a 12k
867162025574351,224,116,108,0,0 a 12k
867162025574385,2161,787,1374,0,25 a +40k
867162025574393,306,153,134,19,0 a 12k
867162025574401,208,148,60,0,12 a 25k
867162025574534,454,191,263,0,0 a 12k
867162025574542,75,29,46,0,25 a +40k
867162025574559,100,46,54,0,12 a 25k
867162025574583,87,31,56,0,12 a 25k
867162025574591,102,52,50,0,0 a 12k
867162025574617,218,56,155,7,12 a 25k
867162025574625,220,100,120,0,0 a 12k
867162025574682,119,84,35,0,12 a 25k
867162025574708,855,382,330,143,12 a 25k
867162025574716,1058,573,478,7,12 a 25k
867162025574724,367,118,249,0,0 a 12k
867162025574757,37,15,22,0,0 a 12k
867162025574765,404,118,286,0,12 a 25k
867162025574781,216,87,128,1,0 a 12k
867162025574807,188,88,100,0,12 a 25k
867162025574864,418,243,175,0,0 a 12k
867162025574872,251,96,155,0,0 a 12k
867162025574922,238,113,125,0,0 a 12k
867162025574989,1719,664,1055,0,25 a +40k
867162025575002,869,297,572,0,0 a 12k
867162025575051,1221,556,661,4,12 a 25k
867162025575069,187,98,89,0,0 a 12k
867162025575127,753,435,317,1,12 a 25k
867162025575135,1010,506,502,2,12 a 25k
867162025575143,337,173,161,3,12 a 25k
867162025575150,183,127,56,0,0 a 12k
867162025575176,475,276,199,0,12 a 25k
867162025575192,409,156,238,15,0 a 12k
867162025575218,37,27,10,0,0 a 12k
867162025575226,184,132,52,0,12 a 25k
867162025575234,336,218,118,0,12 a 25k
867162025575259,206,114,74,18,0 a 12k
867162025575267,218,94,124,0,0 a 12k
867162025575275,352,155,197,0,0 a 12k
867162025575291,367,231,135,1,12 a 25k
867162025575309,266,204,62,0,12 a 25k
867162025575317,1231,750,455,26,25 a +40k
867162025575325,71,35,36,0,12 a 25k
867162025575374,488,198,283,7,25 a +40k
867162025575382,388,206,181,1,12 a 25k
867162025575473,178,124,54,0,12 a 25k
867162025575507,74,34,40,0,0 a 12k
867162025575523,217,99,118,0,12 a 25k
867162025575531,370,225,106,39,12 a 25k
867162025575549,718,357,361,0,12 a 25k
867162025575556,57,38,19,0,25 a +40k
867162025575598,17,9,8,0,12 a 25k
867162025575606,233,140,93,0,12 a 25k
867162025575622,105,60,45,0,0 a 12k
867162025575747,91,57,34,0,0 a 12k
867162025575788,132,67,65,0,25 a +40k
867162025575820,375,189,186,0,0 a 12k
867162025575861,304,108,196,0,12 a 25k
867162025575895,266,78,188,0,12 a 25k
867162025575929,457,62,395,0,0 a 12k
867162025575937,28,15,7,6,0 a 12k
867162025575952,200,96,104,0,12 a 25k
867162025575978,421,166,198,57,12 a 25k
867162025576034,323,205,118,0,12 a 25k
867162025576133,196,113,83,0,12 a 25k
867162025576141,824,471,353,0,0 a 12k
867162025576166,56,40,15,1,0 a 12k
867162025576208,312,67,245,0,12 a 25k
867162025576299,30,20,10,0,25 a +40k
867162025576307,164,100,63,1,25 a +40k
867162025576315,437,168,269,0,0 a 12k
867162025576372,87,32,51,4,0 a 12k
867162025576406,117,86,31,0,0 a 12k
867162025576422,138,93,45,0,12 a 25k
867162025576448,153,112,41,0,12 a 25k
867162025576471,246,131,115,0,12 a 25k
867162025576554,17,10,7,0,0 a 12k
867162025576570,300,205,95,0,25 a +40k
867162025576638,126,75,51,0,25 a +40k
867162025576661,149,106,43,0,0 a 12k
867162025576679,1575,754,754,67,12 a 25k
867162025576695,29,7,22,0,0 a 12k
867162025576729,145,84,61,0,12 a 25k
867162025576745,59,22,37,0,12 a 25k
867162025576802,11,8,3,0,0 a 12k
867162025576828,213,86,127,0,0 a 12k
867162025576851,106,51,55,0,12 a 25k
867162025576877,1550,685,765,100,25 a +40k
867162025576943,240,128,104,8,25 a +40k
867162025576984,134,83,51,0,12 a 25k
867162025576992,1192,466,642,84,12 a 25k
867162025577008,259,184,75,0,0 a 12k
867162025577016,150,80,70,0,25 a +40k
867162025577081,406,140,237,29,25 a +40k
867162025577123,311,140,171,0,12 a 25k
867162025577164,165,52,104,9,12 a 25k
867162025577206,487,270,217,0,25 a +40k
867162025577214,385,130,255,0,12 a 25k
867162025577271,80,47,33,0,0 a 12k
867162025577305,504,189,137,178,25 a +40k
867162025577321,532,401,131,0,12 a 25k
867162025577354,129,73,56,0,25 a +40k
867162025577370,248,136,112,0,0 a 12k
867162025577388,263,167,96,0,12 a 25k
867162025577396,418,207,211,0,12 a 25k
867162025577412,201,84,117,0,0 a 12k
867162025577438,233,142,91,0,0 a 12k
867162025577446,151,84,67,0,0 a 12k
867162025577453,330,139,191,0,12 a 25k
867162025577461,176,114,57,5,0 a 12k
867162025577479,731,245,462,24,12 a 25k
867162025577487,31,26,5,0,12 a 25k
867162025577511,160,84,76,0,12 a 25k
867162025577560,525,112,413,0,0 a 12k
867162025577578,294,174,85,35,12 a 25k
867162025577610,54,31,23,0,25 a +40k
867162025577669,188,136,52,0,12 a 25k
867162025577685,122,76,46,0,12 a 25k
867162025577727,527,237,217,73,12 a 25k
867162025577750,388,146,196,46,12 a 25k
867162025577784,565,372,193,0,25 a +40k
867162025577792,153,93,60,0,0 a 12k
867162025577800,446,209,215,22,12 a 25k
867162025577818,306,200,106,0,0 a 12k
867162025577842,39,19,20,0,0 a 12k
867162025577867,423,254,163,6,12 a 25k
867162025577875,336,244,92,0,12 a 25k
867162025577883,1398,528,358,512,12 a 25k
867162025577891,305,111,194,0,12 a 25k
867162025577925,348,171,177,0,12 a 25k
867162025577941,350,140,210,0,12 a 25k
867162025577966,118,52,66,0,0 a 12k
867162025577982,235,136,99,0,12 a 25k
867162025578006,201,138,63,0,0 a 12k
867162025578014,117,62,52,3,0 a 12k
867162025578022,141,63,78,0,0 a 12k
867162025578048,584,367,217,0,12 a 25k
867162025578055,142,113,29,0,0 a 12k
867162025578063,485,301,183,1,25 a +40k
867162025578089,87,48,39,0,12 a 25k
867162025578105,323,236,87,0,12 a 25k
867162025578139,405,213,192,0,0 a 12k
867162025578147,165,69,96,0,0 a 12k
867162025578154,596,240,356,0,25 a +40k
867162025578162,803,401,402,0,12 a 25k
867162025578188,616,298,316,2,12 a 25k
867162025578212,184,86,85,13,0 a 12k
867162025578220,543,188,355,0,12 a 25k
867162025578246,333,87,246,0,0 a 12k
867162025578279,610,320,284,6,12 a 25k
867162025578303,128,84,44,0,0 a 12k
867162025578329,272,121,151,0,12 a 25k
867162025578345,95,41,54,0,12 a 25k
867162025578352,216,116,92,8,0 a 12k
867162025578360,602,334,264,4,0 a 12k
867162025578378,75,38,37,0,0 a 12k
867162025578386,359,208,151,0,0 a 12k
867162025578394,481,361,116,4,12 a 25k
867162025578402,122,78,44,0,0 a 12k
867162025578410,240,180,60,0,25 a +40k
867162025578428,372,254,118,0,12 a 25k
867162025578436,415,259,156,0,0 a 12k
867162025578444,445,242,193,10,12 a 25k
867162025578451,324,195,129,0,0 a 12k
867162025578469,135,95,40,0,0 a 12k
867162025578477,1206,286,765,155,0 a 12k
867162025578493,451,236,214,1,12 a 25k
867162025578543,76,19,57,0,0 a 12k
867162025578550,108,43,63,2,0 a 12k
867162025578568,108,63,45,0,12 a 25k
867162025578584,33,23,10,0,12 a 25k
867162025578618,82,43,39,0,0 a 12k
867162025578659,545,332,213,0,12 a 25k
867162025578691,179,82,96,1,12 a 25k
867162025578717,532,310,211,11,25 a +40k
867162025578733,192,57,135,0,12 a 25k
867162025578741,252,165,87,0,12 a 25k
867162025578758,224,100,124,0,0 a 12k
867162025578816,474,257,207,10,12 a 25k
867162025578824,140,41,99,0,12 a 25k
867162025578857,186,90,96,0,0 a 12k
867162025578865,113,81,32,0,12 a 25k
867162025578881,3,0,0,3,12 a 25k
867162025578899,136,70,26,40,0 a 12k
867162025578915,9,8,1,0,0 a 12k
867162025578931,847,415,431,1,12 a 25k
867162025578972,241,192,49,0,25 a +40k
867162025578980,0,0,0,0,12 a 25k
867162025579012,58,48,10,0,0 a 12k
867162025579053,65,34,31,0,0 a 12k
867162025579137,145,75,70,0,12 a 25k
867162025579145,364,220,144,0,12 a 25k
867162025579186,241,130,111,0,12 a 25k
867162025579251,245,111,134,0,12 a 25k
867162025579269,263,37,226,0,0 a 12k
867162025579293,15,4,11,0,12 a 25k
867162025579301,247,88,159,0,25 a +40k
867162025579319,282,150,132,0,12 a 25k
867162025579327,489,251,178,60,25 a +40k
867162025579335,145,83,62,0,12 a 25k
867162025579343,153,72,81,0,12 a 25k
867162025579350,476,351,118,7,12 a 25k
867162025579376,211,139,72,0,0 a 12k
867162025579392,652,236,416,0,12 a 25k
867162025579400,762,309,428,25,12 a 25k
867162025579418,0,0,0,0,0 a 12k
867162025579426,196,136,60,0,25 a +40k
867162025579434,281,193,88,0,0 a 12k
867162025579467,178,133,45,0,0 a 12k
867162025579491,372,228,144,0,12 a 25k
867162025579517,19,10,9,0,25 a +40k
867162025579533,347,194,149,4,25 a +40k
867162025579541,160,81,79,0,12 a 25k
867162025579558,851,430,421,0,25 a +40k
867162025579616,308,221,87,0,0 a 12k
867162025579665,413,160,253,0,12 a 25k
867162025579673,98,44,54,0,12 a 25k
867162025579715,2180,1218,960,2,12 a 25k
867162025579756,524,225,299,0,12 a 25k
867162025579764,777,322,391,64,0 a 12k
867162025579772,705,214,415,76,12 a 25k
867162025579814,191,122,59,10,0 a 12k
867162025579830,312,139,114,59,0 a 12k
867162025579855,106,64,42,0,12 a 25k
867162025579863,149,76,72,1,25 a +40k
867162025579897,379,228,151,0,0 a 12k
867162025579921,122,67,55,0,25 a +40k
867162025579939,322,143,179,0,0 a 12k
867162025579996,29,24,5,0,12 a 25k
867162025580002,695,379,316,0,25 a +40k
867162025580036,375,184,159,32,0 a 12k
867162025580051,409,194,215,0,25 a +40k
867162025580069,154,82,72,0,12 a 25k
867162025580085,1140,713,425,2,12 a 25k
867162025580093,389,219,169,1,12 a 25k
867162025580101,237,164,73,0,0 a 12k
867162025580119,297,111,164,22,12 a 25k
867162025580135,310,107,203,0,0 a 12k
867162025580143,622,396,226,0,12 a 25k
867162025580168,226,129,96,1,0 a 12k
867162025580176,320,189,131,0,25 a +40k
867162025580218,230,105,125,0,0 a 12k
867162025580234,126,97,29,0,0 a 12k
867162025580259,41,22,19,0,25 a +40k
867162025580267,686,224,461,1,12 a 25k
867162025580283,221,130,64,27,12 a 25k
867162025580309,454,202,252,0,0 a 12k
867162025580333,370,248,122,0,0 a 12k
867162025580358,150,101,49,0,0 a 12k
867162025580374,179,120,59,0,12 a 25k
867162025580390,210,129,77,4,0 a 12k
867162025580408,34,16,18,0,0 a 12k
867162025580416,479,152,322,5,25 a +40k
867162025580424,106,66,40,0,0 a 12k
867162025580440,272,172,100,0,12 a 25k
867162025580481,62,33,29,0,0 a 12k
867162025580507,421,263,156,2,12 a 25k
867162025580515,155,89,63,3,12 a 25k
867162025580531,695,268,420,7,25 a +40k
867162025580564,366,206,114,46,0 a 12k
867162025580572,196,57,139,0,0 a 12k
867162025580598,277,102,174,1,25 a +40k
867162025580606,187,153,34,0,12 a 25k
867162025580648,1,0,1,0,0 a 12k
867162025580655,703,387,316,0,25 a +40k
867162025580663,1233,645,577,11,12 a 25k
867162025580671,125,93,32,0,0 a 12k
867162025580705,55,36,19,0,0 a 12k
867162025580762,117,55,62,0,12 a 25k
867162025580770,644,437,191,16,12 a 25k
867162025580812,286,146,120,20,12 a 25k
867162025580820,292,57,235,0,25 a +40k
867162025580838,246,169,77,0,12 a 25k
867162025580846,700,471,229,0,0 a 12k
867162025580879,176,107,69,0,0 a 12k
867162025580903,308,106,156,46,0 a 12k
867162025580945,26,11,15,0,0 a 12k
867162025580952,221,77,144,0,0 a 12k
867162025580978,1,0,1,0,25 a +40k
867162025580994,266,216,50,0,0 a 12k
867162025581026,79,56,20,3,25 a +40k
867162025581034,249,130,119,0,12 a 25k
867162025581042,1148,773,372,3,25 a +40k
867162025581067,280,150,130,0,0 a 12k
867162025581083,40,15,25,0,0 a 12k
867162025581125,578,271,307,0,12 a 25k
867162025581141,270,134,104,32,0 a 12k
867162025581158,233,103,119,11,12 a 25k
867162025581166,97,51,46,0,0 a 12k
867162025581174,56,26,30,0,12 a 25k
867162025581190,283,116,167,0,25 a +40k
867162025581208,63,22,41,0,0 a 12k
867162025581216,305,148,157,0,0 a 12k
867162025581240,53,7,46,0,12 a 25k
867162025581257,168,106,62,0,0 a 12k
867162025581273,206,125,81,0,12 a 25k
867162025581281,487,280,207,0,12 a 25k
867162025581299,61,29,32,0,0 a 12k
867162025581315,288,134,95,59,0 a 12k
867162025581323,66,33,33,0,12 a 25k
867162025581331,797,329,466,2,12 a 25k
867162025581349,777,466,306,5,12 a 25k
867162025581364,27,9,18,0,0 a 12k
867162025581398,970,432,456,82,0 a 12k
867162025581406,2183,1391,714,78,12 a 25k
867162025581422,269,176,93,0,0 a 12k
867162025581455,41,31,10,0,0 a 12k
867162025581489,353,108,245,0,12 a 25k
867162025581497,58,38,20,0,12 a 25k
867162025581521,583,388,194,1,25 a +40k
867162025581547,297,167,130,0,12 a 25k
867162025581554,1110,349,757,4,25 a +40k
867162025581570,82,61,21,0,12 a 25k
867162025581604,109,55,54,0,0 a 12k
867162025581620,252,168,84,0,0 a 12k
867162025581646,76,41,35,0,0 a 12k
867162025581653,1536,657,644,235,25 a +40k
867162025581679,1033,515,509,9,0 a 12k
867162025581687,2343,1614,727,2,12 a 25k
867162025581695,722,387,282,53,12 a 25k
867162025581703,514,235,279,0,12 a 25k
867162025581711,287,211,76,0,0 a 12k
867162025581752,180,96,84,0,25 a +40k
867162025581760,672,397,275,0,0 a 12k
867162025581778,510,291,216,3,25 a +40k
867162025581786,474,240,212,22,12 a 25k
867162025581836,173,58,93,22,0 a 12k
867162025581885,210,113,97,0,12 a 25k
867162025581901,511,111,400,0,0 a 12k
867162025581919,393,148,245,0,0 a 12k
867162025581935,43,27,16,0,12 a 25k
867162025581968,381,216,163,2,0 a 12k
867162025581984,355,93,223,39,12 a 25k
867162025581992,315,171,144,0,25 a +40k
867162025582008,407,280,97,30,12 a 25k
867162025582016,2970,1299,714,957,25 a +40k
867162025582024,320,245,75,0,0 a 12k
867162025582040,90,69,21,0,0 a 12k
867162025582065,95,62,30,3,12 a 25k
867162025582099,2429,1152,949,328,25 a +40k
867162025582123,131,84,46,1,0 a 12k
867162025582131,626,229,397,0,12 a 25k
867162025582164,83,55,28,0,12 a 25k
867162025582172,213,128,85,0,12 a 25k
867162025582180,201,183,17,1,0 a 12k
867162025582198,169,70,99,0,12 a 25k
867162025582214,334,178,138,18,0 a 12k
867162025582230,345,185,160,0,12 a 25k
867162025582248,93,42,50,1,0 a 12k
867162025582263,1185,532,652,1,25 a +40k
867162025582289,142,87,55,0,12 a 25k
867162025582313,256,167,87,2,12 a 25k
867162025582321,3,0,3,0,0 a 12k
867162025582339,129,50,79,0,12 a 25k
867162025582347,42,19,23,0,0 a 12k
867162025582362,136,84,48,4,12 a 25k
867162025582370,436,216,220,0,12 a 25k
867162025582404,424,169,254,1,12 a 25k
867162025582412,261,178,83,0,0 a 12k
867162025582420,118,72,46,0,0 a 12k
867162025582438,437,291,144,2,12 a 25k
